Lat Lon emi_CO[kg/m2/s]
45.75 12.85 4.808187736848879e-10
45.75 12.95 2.456052305976897e-10
45.85 8.45 1.8863208217645422e-10
45.85 8.65 1.0846592513047426e-09
45.85 8.75 5.533524749523622e-10
45.85 8.85 6.017689679893579e-10
45.85 9.05 5.945892112002582e-10
45.85 9.15 4.1561376562526675e-10
45.85 9.25 6.427716692236629e-10
45.85 9.35 5.242015710393844e-10
45.85 9.45 3.067524290134571e-10
45.85 9.55 2.1893298285391438e-10
45.85 9.65 2.737507998062938e-10
45.85 9.75 1.4532917924636735e-10
45.85 9.85 3.7969646871083285e-10
45.85 9.95 1.354077960868949e-10
45.85 10.05 3.0765817671252194e-10
45.85 10.15 6.466039925712153e-10
45.85 10.25 1.8499821466400057e-11
45.85 10.35 5.997329022289222e-11
45.85 10.45 5.760138199750742e-11
45.85 11.25 2.2828032866795134e-11
45.85 11.35 1.9242742121949874e-10
45.85 11.45 1.6988363493730674e-10
45.85 11.55 2.2361677787241518e-10
45.85 11.65 1.8986111294250207e-10
45.85 11.75 3.385215163742572e-10
45.85 11.85 3.5963723665766167e-10
45.85 11.95 4.0320194405474297e-10
45.85 12.05 3.795086744862175e-10
45.85 12.15 4.35304792212321e-10
45.85 12.25 4.487785143503231e-10
45.85 12.35 8.132818307693412e-10
45.85 12.45 4.2733708238706924e-10
45.85 12.55 4.0164818693178006e-10
45.95 8.65 3.668146619784096e-10
45.95 8.75 3.777823331940766e-10
45.95 8.85 6.787499451377244e-10
45.95 9.05 2.3854659914057663e-10
45.95 9.15 1.6787418677388644e-10
45.95 9.25 2.092265805053728e-10
45.95 9.35 1.5904703942748455e-10
45.95 9.45 2.953451649911898e-10
45.95 9.55 1.5345958878643096e-11
45.95 9.65 1.1832257396093837e-10
45.95 9.75 3.0405834100522e-11
45.95 9.85 1.504917544747908e-11
45.95 9.95 1.4268304593390013e-10
45.95 10.05 1.1578261266409484e-10
45.95 10.15 1.401098820297264e-10
45.95 10.25 6.079042824680414e-10
45.95 10.35 1.775201791121006e-10
45.95 10.45 3.288156639330575e-12
45.95 11.45 5.597711877358691e-11
45.95 11.55 9.97623858522978e-12
45.95 11.65 9.55717796569111e-11
45.95 12.05 1.7202310409469845e-10
45.95 12.15 4.327107561152843e-10
45.95 12.25 4.706344758353964e-10
45.95 12.35 8.970289511189833e-10
45.95 12.45 6.823979714631889e-10
46.05 8.75 2.2512786079786906e-10
46.05 9.05 1.0210984835445913e-10
46.05 9.15 8.326001693648166e-11
46.05 9.25 3.1237396003191975e-10
46.05 9.35 1.5711064393908458e-10
46.05 9.45 4.983916404577293e-11
46.05 9.65 7.593588952081731e-12
46.05 9.75 3.53854896772976e-11
46.05 9.95 2.5906455800028816e-11
46.05 10.05 3.065767431587041e-11
46.05 10.15 3.336882159477028e-11
46.05 10.25 1.844082178625861e-11
46.05 10.35 3.199852327551156e-10
46.05 10.45 2.2326132262384668e-11
46.05 12.35 1.6557515081228047e-10
46.15 9.15 2.966945916380026e-12
46.15 9.25 6.842741651080786e-11
46.15 9.35 1.2650185066132025e-10
46.15 10.25 6.819123737900057e-11
46.15 10.35 2.1305326947107517e-10
46.15 10.45 6.576529143313692e-13
46.15 10.55 6.340270105806289e-13
46.25 10.35 6.095957072460578e-11
46.25 10.45 6.869146917942714e-11
46.25 10.55 6.84503981274176e-11
